
Sync-Point 0, TimeBin=0, Time: 0, Systemstep: 0, Nsync-grv:        128, Nsync-hyd:        128
Sync-Point 173, TimeBin=19, Time: 0.986328, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 174, TimeBin=19, Time: 0.991211, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 175, TimeBin=19, Time: 0.996094, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 176, TimeBin=19, Time: 1.00098, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 177, TimeBin=19, Time: 1.00586, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 178, TimeBin=19, Time: 1.01074, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 179, TimeBin=19, Time: 1.01562, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 180, TimeBin=19, Time: 1.02051, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 181, TimeBin=19, Time: 1.02539, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 182, TimeBin=19, Time: 1.03027, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 183, TimeBin=19, Time: 1.03516, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 184, TimeBin=19, Time: 1.04004, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 185, TimeBin=19, Time: 1.04492, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 186, TimeBin=19, Time: 1.0498, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 187, TimeBin=19, Time: 1.05469, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 188, TimeBin=19, Time: 1.05957, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 189, TimeBin=19, Time: 1.06445, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 190, TimeBin=19, Time: 1.06934, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 191, TimeBin=19, Time: 1.07422, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 192, TimeBin=19, Time: 1.0791, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 193, TimeBin=19, Time: 1.08398, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 194, TimeBin=19, Time: 1.08887, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 195, TimeBin=19, Time: 1.09375, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 196, TimeBin=19, Time: 1.09863, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 197, TimeBin=19, Time: 1.10352, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 198, TimeBin=19, Time: 1.1084, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 199, TimeBin=19, Time: 1.11328, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 200, TimeBin=19, Time: 1.11816, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

