
Sync-Point 0, TimeBin=0, Time: 0, Systemstep: 0, Nsync-grv:      22500, Nsync-hyd:      22500
Sync-Point 190, TimeBin=18, Time: 0.30957, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         32

Sync-Point 191, TimeBin=19, Time: 0.310547, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        334

Sync-Point 192, TimeBin=18, Time: 0.311523, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         32

Sync-Point 193, TimeBin=24, Time: 0.3125, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:       2513

Sync-Point 194, TimeBin=18, Time: 0.313477, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         27

Sync-Point 195, TimeBin=19, Time: 0.314453, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        360

Sync-Point 196, TimeBin=18, Time: 0.31543, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         31

Sync-Point 197, TimeBin=20, Time: 0.316406, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        394

Sync-Point 198, TimeBin=18, Time: 0.317383, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         31

Sync-Point 199, TimeBin=19, Time: 0.318359, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        361

Sync-Point 200, TimeBin=18, Time: 0.319336, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         33

Sync-Point 201, TimeBin=21, Time: 0.320312, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        475

Sync-Point 202, TimeBin=18, Time: 0.321289, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         32

Sync-Point 203, TimeBin=19, Time: 0.322266, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        369

Sync-Point 204, TimeBin=18, Time: 0.323242, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         33

Sync-Point 205, TimeBin=20, Time: 0.324219, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        411

Sync-Point 206, TimeBin=18, Time: 0.325195, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         29

Sync-Point 207, TimeBin=19, Time: 0.326172, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        376

Sync-Point 208, TimeBin=18, Time: 0.327148, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         31

Sync-Point 209, TimeBin=22, Time: 0.328125, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        694

Sync-Point 210, TimeBin=18, Time: 0.329102, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         33

Sync-Point 211, TimeBin=19, Time: 0.330078, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        387

Sync-Point 212, TimeBin=18, Time: 0.331055, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         36

Sync-Point 213, TimeBin=20, Time: 0.332031, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        432

